,epoch,train_loss_total,val_loss_total,acc_total
0,1,1.5207067310578164,1.4206593971986037,0.5343065693430656
1,2,1.3358481788449714,1.2622782487135666,0.6963503649635037
2,3,1.2335822489474997,1.200740175980788,0.7233576642335766
3,4,1.1965037305995183,1.175420474089109,0.7386861313868613
4,5,1.1786308061288024,1.1658581843742957,0.7447688564476885
5,6,1.1673819786843622,1.1590070412709164,0.7520681265206812
6,7,1.1586667814143436,1.1503927781031682,0.762043795620438
7,8,1.1512937972517794,1.1445668880756086,0.7671532846715329
8,9,1.1458562403801351,1.1378515738707322,0.7700729927007299
9,10,1.1402356295270215,1.1355173917917105,0.7734793187347931
10,11,1.1358569350224061,1.134970026749831,0.7739659367396594
11,12,1.1322670539529407,1.1408064310367292,0.7695863746958638
12,13,1.128042758206913,1.1225634446510901,0.7873479318734793
13,14,1.1235409636441835,1.1188140804951008,0.7924574209245742
14,15,1.1221792739652938,1.1156646948594313,0.7944038929440389
15,16,1.1178813917627595,1.115070370527414,0.7941605839416058
16,17,1.114624897793573,1.1127752432456384,0.7968369829683698
17,18,1.1120112213643145,1.1123903384575478,0.7992700729927007
18,19,1.108753100443443,1.105412899530851,0.8014598540145985
19,20,1.107227747542385,1.10293136376601,0.8036496350364963
20,21,1.1053694560833942,1.1017046809196471,0.8092457420924575
21,22,1.1032181500460851,1.1010686525931725,0.8075425790754258
22,23,1.1022177090440743,1.0995536785859328,0.8094890510948906
23,24,1.100188882898264,1.0962945552972647,0.8119221411192215
24,25,1.0983650494178445,1.0975319752326378,0.8114355231143552
25,26,1.0977749803650705,1.0962655470921443,0.8111922141119221
26,27,1.096330050828392,1.0945500979056726,0.8126520681265207
27,28,1.0946488988074812,1.0962800952104421,0.8133819951338199
28,29,1.093751967417127,1.094808998474708,0.8138686131386861
29,30,1.0929683439926414,1.0980263196505033,0.8099756690997567
30,31,1.091271978639907,1.0888599368242118,0.8153284671532847
31,32,1.0907735147364872,1.0895931849112876,0.8150851581508516
32,33,1.0906586749080553,1.0881244686933664,0.8145985401459854
33,34,1.090432821312767,1.0911050512240483,0.8150851581508516
34,35,1.0905551894165662,1.0902879256468552,0.8165450121654502
35,36,1.0903632253524393,1.0903984849269575,0.8153284671532847
36,37,1.0900945656494407,1.0902745329416714,0.8155717761557177
37,38,1.0900749044659537,1.0902907940057607,0.8158150851581508
38,39,1.090099836137972,1.0895597751323993,0.8155717761557177
39,40,1.0900377290258148,1.0893610330728385,0.8155717761557177
40,41,1.0900482097024584,1.0902131924262413,0.8155717761557177
41,42,1.09002968982036,1.0893779204441951,0.8155717761557177
42,43,1.090038202152178,1.0897051857067988,0.8155717761557177
43,44,1.0900286494062104,1.092026124550746,0.8155717761557177
44,45,1.0900379565439335,1.0919621348381043,0.8155717761557177
45,46,1.0900464273612323,1.0883036081607524,0.8155717761557177
46,47,1.0900219521169996,1.089464338009174,0.8155717761557177
47,48,1.0900137563623806,1.0901745942922738,0.8155717761557177
48,49,1.090012703424298,1.0898574884121235,0.8155717761557177
49,50,1.0900381852216758,1.0886990858958319,0.8155717761557177
